# key   check__PYC_CSDCPA1_2_PYC_CSLADDER_3_PYC_CSDEFPART_2__8a9e56e6+c003c82d
# mode  check   env: PYC_CSDCPA1=2 PYC_CSLADDER=3 PYC_CSDEFPART=2
# tree  8a9e56e6+c003c82d
# content 10ac425b0405
# date  2026-09-07T19:21:11-07:00
name	compile_rc	warns	run_rc	cpy_rc	stdout_match	ess	css	container_cs	shapes	pshapes
ac_encode	0	0	124	124	-	262	853	7	4	5
adatron	0	10	134	124	-	412	1060	44	13	18
amaze	0	13	134	0	-	702	2045	70	11	17
ant	0	0	0	0	NO	266	749	21	7	9
astar	0	0	0	0	yes	48	480	2	2	2
bh	0	12	134	124	-	410	1162	17	9	13
block	0	0	0	0	NO	278	893	12	9	11
brainfuck	0	0	0	0	NO	122	615	5	5	5
chaos	0	5	0	124	-	489	1192	29	9	16
chess	0	0	124	124	-	564	1432	53	12	19
chull	1	0	-	-	-	564	1207	51	15	28
circle	0	0	0	0	NO	122	601	6	6	6
collatz	0	0	0	0	NO	168	619	9	5	8
dijkstra	0	8	0	0	NO	283	903	19	6	8
dijkstra2	0	5	124	0	-	368	1088	41	15	21
doom	0	210	134	1	-	201	922	14	7	9
fysphun	0	0	0	0	yes	255	703	13	7	8
genetic	0	0	0	0	NO	173	717	6	5	5
genetic2	0	3	134	0	-	400	1006	27	10	11
go	0	15	0	0	NO	684	1586	49	11	16
hq2x	0	0	0	0	NO	608	2173	11	5	6
kanoodle	0	6	139	0	-	506	1244	108	8	19
kmeanspp	0	4	134	124	-	66	550	3	3	3
life	0	17	134	0	-	242	759	17	8	8
linalg	0	112	134	0	-	652	1427	51	4	13
loop	0	0	124	0	-	335	946	23	12	16
lz2	0	39	134	0	-	171	781	8	5	8
mandelbrot	0	0	0	0	NO	97	527	2	2	2
mandelbrot2	0	0	0	0	NO	344	1029	39	8	13
mao	0	3	0	124	-	318	872	15	8	9
mastermind2	0	42	134	0	-	378	1128	28	8	9
minilight	0	14	134	124	-	222	1170	10	8	8
minpng	0	9	0	0	NO	115	573	5	5	5
msp_ss	0	264	0	0	yes	880	2524	86	15	22
mwmatching	0	10	134	0	-	67	546	3	3	3
nbody	0	0	0	0	NO	113	606	4	4	4
neural1	0	28	139	0	-	266	862	18	10	14
neural2	0	0	0	0	NO	210	782	23	5	9
oliva2	0	0	0	124	-	197	682	9	4	6
othello	0	8	134	0	-	202	713	27	8	11
othello2	0	80	134	0	-	301	1090	12	8	10
othello3	1	0	-	-	-	-	-	-	-	-
path_tracing	0	0	0	124	-	205	852	8	7	7
pisang	0	0	134	124	-	359	918	22	6	8
plcfrs	0	162	134	0	-	1257	2454	153	26	49
pygasus	0	53	134	124	-	1644	3276	35	7	12
pygmy	0	0	0	124	-	807	3364	16	9	9
pylife	0	0	124	0	-	659	2482	36	7	17
pystone	0	0	0	0	NO	172	663	10	5	7
quameon	0	76	134	0	-	1285	2751	139	16	31
rdb	1	117	-	-	-	998	2348	111	16	35
richards	0	4	0	124	-	208	817	7	4	6
rsync	0	38	134	1	-	100	597	6	6	6
rubik	0	183	134	0	-	996	4348	231	11	24
rubik2	0	0	124	124	-	389	964	33	8	20
sat	0	19	134	0	-	107	657	5	5	5
score4	0	0	0	124	-	224	744	13	8	11
sha	0	0	0	0	NO	318	911	22	4	8
sieve	0	0	0	0	NO	240	746	15	5	11
softrender	0	76	134	0	-	821	2020	68	15	24
sokoban	0	25	0	0	NO	85	586	4	4	4
solitaire	0	6	124	0	-	238	847	26	8	9
stereo	0	0	0	0	yes	143	696	8	6	8
sudoku1	0	9	0	0	NO	219	821	13	7	9
sudoku2	0	0	0	0	NO	490	1330	48	11	15
sudoku3	0	42	134	0	-	502	1386	55	8	16
sudoku4	0	45	134	0	-	485	1294	30	13	18
sudoku5	0	24	0	0	NO	619	1401	60	14	19
sunfish	0	51	134	0	-	112	806	13	4	6
tarsalzp	0	231	139	0	-	504	1694	10	5	7
tictactoe	0	0	0	0	NO	375	1139	24	8	9
timsort	0	32	134	124	-	197	773	2	2	2
tonyjpegdecoder	0	0	124	0	-	570	1675	35	7	18
voronoi	0	0	0	0	NO	158	645	9	5	5
voronoi2	0	45	0	0	NO	447	1461	33	14	19
webserver	0	14	124	124	-	389	1118	18	9	10
yopyra	0	20	124	124	-	341	1049	13	10	10
DONE
