# key   check__PYC_NILSTORE_0__ae16c44e+0e9deefa
# mode  check   env: PYC_NILSTORE=0
# tree  ae16c44e+0e9deefa
# content 1fec430f7d16
# date  2026-09-09T08:37:09-07:00
name	compile_rc	warns	run_rc	cpy_rc	stdout_match	ess	css	container_cs	shapes	pshapes
ac_encode	0	0	124	124	-	242	985	14	5	6
adatron	0	10	134	124	-	415	1229	50	13	19
amaze	0	13	134	0	-	665	2167	52	11	17
ant	0	0	0	0	NO	222	844	17	7	9
astar	0	0	0	0	yes	48	530	5	2	2
bh	0	1	0	124	-	370	1328	22	8	13
block	0	0	0	0	NO	301	1078	20	9	11
brainfuck	0	0	0	0	NO	123	719	9	5	5
chaos	0	5	0	124	-	461	1326	31	9	16
chess	0	0	124	124	-	686	2301	62	12	19
chull	0	0	139	124	-	480	1300	51	14	27
circle	0	0	0	0	NO	122	701	9	6	6
collatz	0	0	0	0	NO	173	729	15	5	8
dijkstra	0	8	0	0	NO	271	1028	21	6	8
dijkstra2	0	5	124	0	-	375	1243	47	15	21
doom	0	210	134	1	-	204	1084	30	7	10
fysphun	0	0	0	0	yes	238	821	13	8	9
genetic	0	0	0	0	NO	173	845	9	5	5
genetic2	0	3	134	0	-	396	1167	27	10	11
go	0	15	0	0	NO	622	1695	37	12	15
hq2x	0	0	0	124	-	626	2392	20	5	6
kanoodle	0	6	0	0	NO	490	1388	113	8	21
kmeanspp	0	4	134	124	-	66	615	6	3	3
life	0	17	134	0	-	243	900	20	8	8
linalg	0	38	134	0	-	617	1551	49	5	11
loop	0	0	124	0	-	348	1128	32	12	15
lz2	0	39	134	0	-	179	920	17	6	9
mandelbrot	0	0	0	0	NO	97	616	6	3	3
mandelbrot2	0	0	0	0	NO	285	979	30	9	14
mao	0	3	0	124	-	311	1025	17	8	9
mastermind2	0	54	134	0	-	384	1307	28	8	9
minilight	0	14	134	124	-	224	1309	13	8	8
minpng	0	9	0	0	NO	115	666	10	6	6
msp_ss	0	235	0	0	yes	834	2699	92	15	23
mwmatching	0	10	134	0	-	67	615	7	4	4
nbody	0	0	0	0	NO	113	706	8	5	5
neural1	0	28	139	0	-	278	1032	27	10	14
neural2	0	0	0	0	NO	219	914	29	5	9
oliva2	0	0	0	124	-	197	805	13	4	6
othello	0	8	134	0	-	207	830	31	8	11
othello2	0	80	134	0	-	304	1260	17	8	10
othello3	1	0	-	-	-	-	-	-	-	-
path_tracing	0	0	0	124	-	205	1012	11	7	7
pisang	0	0	134	124	-	366	1054	27	6	9
plcfrs	0	129	134	0	-	1088	2549	137	26	47
pygasus	0	3	134	124	-	1666	3882	113	11	19
pygmy	0	0	0	124	-	407	1556	20	9	9
pylife	0	0	124	0	-	416	1438	26	7	12
pystone	0	0	0	0	NO	170	781	13	5	7
quameon	0	69	134	0	-	1079	2993	128	17	32
rdb	1	120	-	-	-	1032	2702	128	16	35
richards	0	4	0	124	-	208	979	10	4	6
rsync	0	38	134	1	-	101	691	12	6	6
rubik	0	176	134	0	-	717	3611	126	11	21
rubik2	0	0	124	124	-	361	1077	41	8	20
sat	0	19	134	0	-	108	755	10	5	6
score4	0	0	0	124	-	224	859	17	8	11
sha	0	0	0	0	NO	290	1019	25	5	9
sieve	0	0	0	0	NO	250	882	20	5	11
softrender	0	76	134	0	-	751	2242	64	15	26
sokoban	0	25	0	0	NO	85	671	10	4	4
solitaire	0	6	124	0	-	238	987	30	8	10
stereo	0	0	0	0	yes	178	1056	192	6	9
sudoku1	0	15	0	0	NO	240	976	31	7	9
sudoku2	0	0	0	0	NO	364	1321	30	11	15
sudoku3	0	36	134	0	-	408	1375	43	8	15
sudoku4	0	21	134	0	-	424	1277	41	14	16
sudoku5	0	24	0	0	NO	643	1635	64	14	19
sunfish	0	55	134	0	-	118	904	20	4	7
tarsalzp	0	231	139	0	-	561	2030	26	5	7
tictactoe	0	0	0	0	NO	378	1256	34	8	9
timsort	0	32	134	124	-	207	919	9	3	3
tonyjpegdecoder	0	0	124	0	-	559	1880	61	7	18
voronoi	0	0	0	0	NO	158	748	12	5	5
voronoi2	0	27	0	0	NO	445	1667	40	14	22
webserver	0	6	124	124	-	377	1276	27	9	10
yopyra	0	20	124	124	-	341	1231	16	10	10
DONE
