# key   compile__PYC_CSDCPA1_2_PYC_CSLADDER_3_PYC_VIOLCS_3_PYC_CSMEMBER_1_PYC_CSCONTENT_1_PYC_TUPLEMERGE_1__95d14c97+60fb29ad
# mode  compile   env: PYC_CSDCPA1=2 PYC_CSLADDER=3 PYC_VIOLCS=3 PYC_CSMEMBER=1 PYC_CSCONTENT=1 PYC_TUPLEMERGE=1
# tree  95d14c97+60fb29ad
# content fd56b656b6fc
# date  2026-09-11T06:46:13-07:00
name	compile_rc	warns	run_rc	cpy_rc	stdout_match	ess	css	container_cs	shapes	pshapes
ac_encode	0	0	-	-	-	247	853	12	5	6
adatron	0	10	-	-	-	397	1041	35	13	18
amaze	0	13	-	-	-	719	2029	56	11	17
ant	0	0	-	-	-	262	750	23	7	9
astar	0	0	-	-	-	48	480	2	2	2
bh	0	1	-	-	-	374	1145	20	8	13
block	0	0	-	-	-	283	900	18	9	11
brainfuck	0	0	-	-	-	123	619	9	5	5
chaos	0	5	-	-	-	490	1198	32	9	16
chess	0	0	-	-	-	575	1423	38	12	19
chull	0	6	-	-	-	511	1164	52	14	29
circle	0	0	-	-	-	122	604	9	6	6
collatz	0	0	-	-	-	169	623	13	5	8
dijkstra	0	8	-	-	-	284	906	23	6	8
dijkstra2	1	13	-	-	-	394	1104	45	18	25
doom	0	210	-	-	-	201	935	27	7	9
fysphun	0	0	-	-	-	236	699	12	8	9
genetic	0	0	-	-	-	173	720	9	5	5
genetic2	0	3	-	-	-	389	992	26	10	11
go	0	25	-	-	-	682	1558	44	12	14
hq2x	0	0	-	-	-	616	2183	17	5	6
kanoodle	0	6	-	-	-	489	1105	58	8	19
kmeanspp	134	0	-	-	-	-	-	-	-	-
life	0	17	-	-	-	240	765	22	8	9
linalg	0	46	-	-	-	576	1323	55	5	13
loop	0	0	-	-	-	336	954	29	12	16
lz2	0	39	-	-	-	177	790	14	6	9
mandelbrot	0	0	-	-	-	97	527	2	2	2
mandelbrot2	0	0	-	-	-	308	876	31	9	14
mao	0	3	-	-	-	318	876	17	8	9
mastermind2	0	47	-	-	-	346	1098	21	8	9
minilight	0	14	-	-	-	222	1173	13	8	8
minpng	0	9	-	-	-	115	578	10	6	6
msp_ss	134	0	-	-	-	-	-	-	-	-
mwmatching	0	10	-	-	-	67	546	3	3	3
nbody	0	0	-	-	-	113	606	4	4	4
neural1	0	28	-	-	-	270	869	24	10	14
neural2	0	0	-	-	-	213	783	24	5	9
oliva2	0	0	-	-	-	196	685	12	4	6
othello	1	9	-	-	-	229	749	18	8	11
othello2	0	80	-	-	-	318	1118	16	8	10
othello3	1	0	-	-	-	-	-	-	-	-
path_tracing	0	0	-	-	-	205	855	11	7	7
pisang	0	0	-	-	-	341	892	24	6	8
plcfrs	1	400	-	-	-	1163	3301	112	28	45
pygasus	0	53	-	-	-	1639	3269	30	7	13
pygmy	1	0	-	-	-	1118	4743	27	9	10
pylife	0	0	-	-	-	425	1228	28	7	17
pystone	0	0	-	-	-	169	665	13	5	7
quameon	134	0	-	-	-	-	-	-	-	-
rdb	134	0	-	-	-	-	-	-	-	-
richards	0	4	-	-	-	208	820	10	4	6
rsync	0	38	-	-	-	101	603	12	6	6
rubik	0	183	-	-	-	440	1684	37	11	20
rubik2	0	0	-	-	-	360	940	36	8	20
sat	0	19	-	-	-	107	660	8	5	5
score4	0	0	-	-	-	224	748	17	8	11
sha	0	0	-	-	-	316	916	30	5	9
sieve	0	0	-	-	-	236	748	17	5	11
softrender	0	76	-	-	-	808	2037	69	15	24
sokoban	0	25	-	-	-	85	586	4	4	4
solitaire	0	6	-	-	-	236	835	18	8	10
stereo	0	0	-	-	-	145	701	13	6	9
sudoku1	0	9	-	-	-	238	853	29	7	9
sudoku2	0	0	-	-	-	429	1262	48	11	15
sudoku3	0	48	-	-	-	492	1381	51	8	16
sudoku4	1	47	-	-	-	605	1513	38	13	17
sudoku5	1	95	-	-	-	714	1722	51	16	21
sunfish	0	55	-	-	-	118	808	14	4	6
tarsalzp	0	213	-	-	-	500	1590	21	5	7
tictactoe	0	0	-	-	-	415	1168	33	8	9
timsort	0	32	-	-	-	211	786	11	3	3
tonyjpegdecoder	0	0	-	-	-	573	1676	43	7	18
voronoi	0	0	-	-	-	154	646	10	5	5
voronoi2	134	0	-	-	-	-	-	-	-	-
webserver	0	6	-	-	-	394	1127	26	9	10
yopyra	0	20	-	-	-	393	1141	20	10	10
DONE
