# key   check__PYC_CSDCPA1_2_PYC_CSLADDER_3_PYC_CSDEFSPLIT_2__20f76f27+62a5a8d4
# mode  check   env: PYC_CSDCPA1=2 PYC_CSLADDER=3 PYC_CSDEFSPLIT=2
# tree  20f76f27+62a5a8d4
# content e71cddd9797b
# date  2026-09-07T15:24:12-07:00
name	compile_rc	warns	run_rc	cpy_rc	stdout_match	ess	css	container_cs	shapes	pshapes
ac_encode	0	0	124	124	-	233	830	6	4	5
adatron	0	10	134	124	-	414	1069	52	13	18
amaze	0	13	134	0	-	711	2058	79	11	17
ant	0	0	0	0	NO	256	746	23	7	9
astar	0	0	0	0	yes	48	480	2	2	2
bh	0	12	134	124	-	410	1161	16	8	12
block	0	0	0	0	NO	302	912	20	9	11
brainfuck	0	0	0	0	NO	122	614	4	4	4
chaos	0	5	0	124	-	489	1199	36	9	16
chess	0	0	124	124	-	894	3016	83	12	19
chull	0	6	1	124	-	556	1214	58	14	29
circle	0	0	0	0	NO	122	600	5	5	5
collatz	0	0	0	0	NO	173	626	15	5	8
dijkstra	0	8	0	0	NO	295	917	28	6	8
dijkstra2	0	5	124	0	-	369	1095	48	15	21
doom	0	210	134	1	-	201	937	29	7	9
fysphun	0	0	0	0	yes	247	704	17	8	9
genetic	0	0	0	0	NO	173	720	9	5	5
genetic2	0	3	134	0	-	401	1012	33	10	11
go	0	15	0	0	NO	672	1578	60	12	17
hq2x	0	0	0	0	NO	618	2184	18	5	6
kanoodle	0	6	139	0	-	544	1291	141	8	19
kmeanspp	0	4	134	124	-	66	550	3	3	3
life	0	17	134	0	-	244	764	21	8	8
linalg	0	54	134	0	-	836	1700	113	5	14
loop	0	0	124	0	-	350	960	30	12	16
lz2	0	39	134	0	-	171	781	8	5	8
mandelbrot	0	0	0	0	NO	97	527	2	2	2
mandelbrot2	0	0	0	0	NO	415	1197	48	9	14
mao	0	3	0	124	-	316	875	19	8	9
mastermind2	0	54	134	0	-	406	1165	46	8	9
minilight	0	14	134	124	-	222	1173	13	8	8
minpng	0	9	0	0	NO	115	578	10	6	6
msp_ss	0	264	0	0	yes	940	2633	113	15	22
mwmatching	0	10	134	0	-	67	546	3	3	3
nbody	0	0	0	0	NO	113	606	4	4	4
neural1	0	28	139	0	-	278	876	27	10	14
neural2	0	0	0	0	NO	213	783	25	4	8
oliva2	0	0	0	124	-	202	687	14	4	6
othello	0	8	134	0	-	206	723	30	8	11
othello2	0	80	134	0	-	304	1095	16	8	10
othello3	1	0	-	-	-	-	-	-	-	-
path_tracing	0	0	0	124	-	205	855	11	7	7
pisang	0	0	134	124	-	368	927	28	6	9
plcfrs	1	330	-	-	-	1630	3839	168	32	52
pygasus	0	3	134	124	-	1661	3361	116	11	19
pygmy	0	0	0	124	-	809	3369	20	9	9
pylife	0	0	124	0	-	660	2486	39	7	17
pystone	0	0	0	0	NO	172	666	13	5	7
quameon	0	79	134	0	-	1333	2795	169	17	30
rdb	1	120	-	-	-	1080	2480	142	16	35
richards	0	4	0	124	-	208	816	6	4	5
rsync	0	38	134	1	-	101	603	12	6	6
rubik	0	183	134	0	-	995	4354	238	11	24
rubik2	0	0	124	124	-	384	967	43	8	20
sat	0	19	134	0	-	108	663	10	5	5
score4	0	0	0	124	-	224	747	16	8	11
sha	0	0	0	0	NO	348	967	38	5	9
sieve	0	0	0	0	NO	250	755	20	5	11
softrender	0	76	134	0	-	816	2045	93	15	24
sokoban	0	25	0	0	NO	85	586	4	4	4
solitaire	0	6	124	0	-	240	852	30	8	9
stereo	0	0	0	0	yes	178	970	189	6	9
sudoku1	0	15	0	0	NO	239	852	31	7	9
sudoku2	0	0	0	0	NO	489	1324	53	11	15
sudoku3	0	42	134	0	-	475	1323	62	8	16
sudoku4	0	21	134	0	-	448	1157	49	14	17
sudoku5	1	207	-	-	-	916	2466	84	19	34
sunfish	0	55	134	0	-	118	814	20	4	6
tarsalzp	0	231	139	0	-	559	1769	35	5	7
tictactoe	0	0	0	0	NO	426	1197	36	8	9
timsort	0	32	134	124	-	197	773	2	2	2
tonyjpegdecoder	0	0	124	0	-	582	1693	50	7	18
voronoi	0	0	0	0	NO	158	648	12	5	5
voronoi2	0	49	0	0	NO	461	1476	41	14	19
webserver	0	6	124	124	-	384	1137	37	9	10
yopyra	0	20	124	124	-	341	1052	16	10	10
DONE
