# key   compile__PYC_CSDCPA1_2__576b4b75
# mode  compile   env: PYC_CSDCPA1=2
# tree  576b4b75
# content 98f80897ab30
# date  2026-09-12T12:29:00-07:00
name	compile_rc	warns	run_rc	cpy_rc	stdout_match	ess	css	container_cs	shapes	pshapes
ac_encode	0	0	-	-	-	243	849	7	4	5
adatron	0	0	-	-	-	423	1067	48	13	18
amaze	0	7	-	-	-	673	2010	46	11	17
ant	0	0	-	-	-	264	750	20	7	9
astar	0	0	-	-	-	48	482	2	2	2
bh	0	11	-	-	-	372	1138	17	9	13
block	0	0	-	-	-	278	895	12	9	11
brainfuck	0	0	-	-	-	122	617	5	5	5
chaos	0	0	-	-	-	482	1185	29	9	16
chess	0	0	-	-	-	562	1435	53	12	19
chull	1	0	-	-	-	568	1201	54	15	28
circle	0	0	-	-	-	122	603	6	6	6
collatz	0	0	-	-	-	168	621	9	5	8
dijkstra	0	6	-	-	-	283	905	19	6	8
dijkstra2	0	4	-	-	-	373	1092	41	15	21
doom	0	157	-	-	-	201	924	14	7	9
fysphun	0	0	-	-	-	247	702	10	8	9
genetic	0	0	-	-	-	173	719	6	5	5
genetic2	0	3	-	-	-	398	1009	28	10	11
go	0	10	-	-	-	652	1563	34	11	14
hq2x	0	0	-	-	-	606	2174	10	5	6
kanoodle	0	5	-	-	-	519	1259	112	8	19
kmeanspp	0	4	-	-	-	66	552	3	3	3
life	0	18	-	-	-	363	957	22	9	10
linalg	0	108	-	-	-	652	1429	51	4	13
loop	0	0	-	-	-	335	948	23	12	16
lz2	0	29	-	-	-	171	783	8	5	8
mandelbrot	0	0	-	-	-	97	529	2	2	2
mandelbrot2	0	0	-	-	-	307	876	29	9	14
mao	0	2	-	-	-	312	872	13	8	9
mastermind2	0	24	-	-	-	371	1121	20	8	9
minilight	0	9	-	-	-	222	1172	10	8	8
minpng	0	6	-	-	-	115	577	7	6	6
msp_ss	0	194	-	-	-	862	2501	82	15	22
mwmatching	0	7	-	-	-	67	548	3	3	3
nbody	0	0	-	-	-	113	608	4	4	4
neural1	0	14	-	-	-	267	863	18	10	14
neural2	0	0	-	-	-	211	785	24	5	9
oliva2	0	0	-	-	-	201	685	10	4	6
othello	0	0	-	-	-	279	880	34	9	14
othello2	0	46	-	-	-	302	1091	12	8	10
othello3	1	0	-	-	-	-	-	-	-	-
path_tracing	0	0	-	-	-	205	854	8	7	7
pisang	0	0	-	-	-	348	894	21	6	8
plcfrs	1	380	-	-	-	1562	3662	134	29	51
pygasus	0	2	-	-	-	1661	3288	45	11	17
pygmy	0	0	-	-	-	807	3366	16	9	9
pylife	0	0	-	-	-	415	1310	23	7	12
pystone	0	0	-	-	-	171	664	10	5	7
quameon	0	0	-	-	-	1232	2730	131	17	30
rdb	1	82	-	-	-	1020	2386	111	16	35
richards	0	4	-	-	-	208	819	7	4	6
rsync	0	27	-	-	-	101	600	7	6	6
rubik	0	134	-	-	-	712	3500	108	11	20
rubik2	0	0	-	-	-	440	1036	45	8	20
sat	0	16	-	-	-	90	589	5	4	4
score4	0	0	-	-	-	224	746	13	8	11
sha	0	0	-	-	-	317	911	21	5	9
sieve	0	0	-	-	-	250	754	17	5	11
softrender	0	13	-	-	-	917	2209	72	15	25
sokoban	0	17	-	-	-	85	588	4	4	4
solitaire	0	1	-	-	-	239	848	26	8	9
stereo	0	0	-	-	-	143	698	8	6	8
sudoku1	0	7	-	-	-	220	824	13	7	9
sudoku2	0	0	-	-	-	469	1276	45	11	15
sudoku3	1	121	-	-	-	923	3800	41	11	19
sudoku4	1	39	-	-	-	478	1295	30	13	18
sudoku5	1	216	-	-	-	1105	2637	61	17	28
sunfish	0	42	-	-	-	112	808	13	4	6
tarsalzp	0	170	-	-	-	503	1694	10	5	7
tictactoe	0	0	-	-	-	375	1141	24	8	9
timsort	0	0	-	-	-	226	988	3	3	3
tonyjpegdecoder	0	0	-	-	-	569	1677	35	7	18
voronoi	0	0	-	-	-	158	647	9	5	5
voronoi2	0	33	-	-	-	455	1468	34	14	19
webserver	0	7	-	-	-	390	1121	18	9	10
yopyra	0	0	-	-	-	342	1048	13	10	10
DONE
